Castelo Branco|33479|-7.4879995591|39.8109961483
Guarda|32111|-7.26200051152|40.5410041432
Viseu|26364|-7.91000043134|40.656996108
Vila Real|17001|-7.73700249014|41.2939981493
Fatick|24243|-16.4159995209|14.3440021019
An Nabk|10000|37.3332965345|31.3333020458
Assen|62237|6.55000258464|53.0000010924
Arnhem|141674|5.92299956246|51.9879960345
Maastricht|122378|5.67700247661|50.8529970672
Zwolle|111805|6.09699652852|52.5240000889
Middelburg|46485|3.60999954067|51.5019961773
's-Hertogenbosch|134520|5.31666048481|51.6833371427
Arendal|30916|8.76600055346|58.4647560555
Vossavangen|5571|6.44100346283|60.6300031648
Leikanger|1965|6.84999947075|61.1832961245
Bærum|113659|11.3472365136|59.9134860597
Hamar|29479|11.0690015561|60.8200020697
Tønsberg|38914|10.4210014708|59.2640010895
Baglung|23296|83.5832976202|28.2666960593
Jumla|9073|82.2167016241|29.2500001278
Bhairawa|63367|83.3832995306|27.5333040891
Dandeldhura|19014|80.6000045474|29.3000041597
Dhangarhi|92294|80.5930026028|28.69499706
Ramechhap|15000|86.0869985286|27.3259980757
Bhimphedi|15000|85.1300015629|27.5509980984
Rajbiraj|33061|86.7332976074|26.5332961001
Ilam|17491|87.9260045327|26.9080020735
Wabag|3958|143.718003738|-5.49000000496
Vanimo|11204|141.303996628|-2.69000093572
Kundiawa|9383|144.960012714|-6.02299788324
Kerema|5646|145.837998679|-7.92700189711
Arawa|40266|155.565990668|-6.22800003317
Lorengau|5806|147.279996642|-2.03200199676
Kimbe|18847|150.143013709|-5.55000289044
Dubasari|23254|29.1608333|47.2630556
Qacha's Nek|25573|28.7019995066|-30.1172669153
Hudur|1639|43.866702605|4.18329897276
Garbahaarey|12652|42.2270016449|3.32700311625
Bu'aale|1490|42.5833025257|1.0833030174
Dhuusa Mareeb|447|46.5080044999|5.7419999843
Trincomalee|108420|81.2330015532|8.56899903641
Puttalan|45661|79.8260045421|8.03300408359
Ratnapura|47832|80.3860025687|6.69300313187
Umuahia|264662|7.48600248721|5.53200304108
Uyo|554906|7.84999852368|5.0079960555
Owerri|215038|7.0260035881|5.49299705326
Sariwon|154942|125.762004687|38.5070041099
Sin-Ni|19463|125.463996583|39.4880041494
Suchboatar|24235|106.200000624|50.2499971188
Dzuunmod|17738|106.947000646|47.7109980494
Omaruru|11547|15.9509975392|-21.436001931
Karibib|6898|15.8529964614|-21.9390029173
Otavi|4562|17.3420015476|-19.6399980141
Gobabis|16321|18.9630005375|-22.4549999974
Wete|26450|39.7257990016|-5.06346395918
Kibaha|23651|38.9167026015|-6.76670395349
Mkokotoni|2572|39.259998618|-5.8789979746
Fribourg|32827|7.14999652234|46.80000008
Liestal|12832|7.73700346795|47.4830011176
Solothurn|14853|7.53699660776|47.2120020986
Sarnen|9410|8.24300152884|46.8990000172
Mariestad|14891|13.8279965878|58.7050020878
Vannersborg|21835|12.3300006089|58.3630021393
Appenzell|5649|9.41670050466|47.3333041031
Ros Comain|4860|-8.1833333|53.6333333
Cacheu|10490|-16.1649985401|12.2689980311
Farim|6792|-15.2270004224|12.492999029
Fulacunda|1311|-15.1949965446|11.7729989893
Gabu|14430|-14.2340034795|12.2799960751
Catio|9898|-15.1667004937|11.2167000189
Barclayville|2733|-8.16669851802|4.7999969965
Voinjama|26594|-9.74999652422|8.41670111517
Bensonville|4089|-10.6000015194|6.43329903452
Kakata|33945|-10.3490005387|6.5259990088
Sanniquellie|11415|-8.68499946155|7.37100010911
Rivercess|2578|-9.57799744238|5.46499804554
Potenza|69060|15.7989964956|40.6420021301
Campobasso|50762|14.6559965589|41.5629991186
Al Mafraq|57118|36.2332985195|32.2832970669
At Tafilah|25429|35.600004636|30.833334044
Ma'an|50350|35.7360035752|30.1920031156
Aosta|34062|7.31500259571|45.7370010671
Diekirch|6242|6.16670155545|49.8833010509
Grevenmacher|3958|6.33330057452|49.6999981113
Kangar|63869|100.189998682|6.43300199135
Kuala Lipis|15448|102.042000614|4.18400111992
Shah Alam|481654|101.549997672|3.06669599645
Nyeri|51084|36.9510036318|-0.416996990488
Teyateyaneng|5115|27.7530035103|-29.1529979356
Mohales Hoek|24992|27.4799975055|-30.1589999083
Moyeni|24130|27.7160045083|-30.4109999139
Hlotse|47675|28.0559976365|-28.8780029827
Butha-Buthe|16330|28.2500015769|-28.7499959113
Mokhotlong|8809|29.078001548|-29.2910040261
Ahuachapan|34102|-89.8450015467|13.9190039897
Cojutepeque|48411|-88.9333015956|13.7167020366
Nueva San Salvador|124694|-89.2899984788|13.6739969925
Zacatecoluca|39613|-88.8679976066|13.5080009959
La Union|26807|-87.8390005211|13.331997044
San Francisco Gotera|16152|-88.100000521|13.699998116
San Vicente|37326|-88.7849996083|13.641003026
Usulutan|51910|-88.4320016158|13.3460010987
Chalatenango|29271|-89.0939964887|14.0720040581
Lucea|6289|-78.1790036163|18.4429980854
Mandeville|47115|-77.4999985126|18.0330030526
Black River|4229|-77.8519974803|18.0309960668
Falmouth|7779|-77.6560496033|18.4795830473
Savanna-la-Mar|30000|-77.9480005084|18.1639980969
Port Antonio|14400|-76.3800026249|18.1590031381
St. Ann's Bay|13671|-77.1995245371|18.4326391393
Port Maria|7906|-76.8999954733|18.3770010508
Half Way Tree|96494|-76.7999965113|18.0333000958
Port Morant|11536|-76.3289995682|17.8910010282
Sabaneta|16380|-71.3449885357|19.5049980735
Mao|48297|-71.0749974776|19.5519960946
Cotui|41641|-70.1520026048|19.0590030636
Evinayong|8462|10.5667025515|1.44999908525
Luba|8655|8.55000052502|3.44999702564
Sibenik|37112|15.9058333|43.7272222
Shibin el Kom|182900|30.8999974869|30.5919991293
Benha|167029|31.1833356294|30.4666651155
Zagazig|285097|31.5166596006|30.5833320881
Kafr el Sheikh|143970|30.9359976295|31.1090040048
Dikhil|12043|42.3720005783|11.1040020064
Tadjoura|22193|42.9000034979|11.7833039878
Haapsalu|11805|23.5413889|58.9430556
Hawalli|164212|47.9999975591|29.3333400154
Buluko|1192|28.5280025406|-0.756998889277
Mzimba|19308|33.6|-11.9
Machinga|1418|35.5166667|-14.9666667
Dedza|15608|34.3333333|-14.3666667
Mchinji|18305|32.9|-13.8
Ntcheu|10445|34.6333333|-14.8166667
Chiradzulu|1580|35.1833333|-15.7
Nsanje|21774|35.2666667|-16.9166667
Mwanza|11379|34.5166667|-15.6166667
Mulanje|16483|35.5|-16.0333333
Salama|40000|-90.3140006056|15.1029990278
Retalhuleu|36656|-91.6770145424|14.5370970406
San Marcos|25088|-91.7999995156|14.9660010637
Chimaltenango|82370|-90.819998501|14.6619991421
Antigua Guatemala|39368|-90.7333016119|14.5666980957
Solola|45373|-91.1829955126|14.7729959827
Totonicapan|69734|-91.3580006051|14.9139989822
El Progreso|147197|-90.0167035854|14.8499999973
Cuilapa|16484|-90.2979985012|14.2790040922
Chiquimula|41521|-89.5439965341|14.7969990565
Jalapa|45834|-89.9890016208|14.6330011095
Zacapa|36088|-89.5290025562|14.9720039835
Puerto Plata|119897|-70.6902474735|19.7902171033
Dajabon|16398|-71.7049975743|19.5479999952
